Shift_Point1,Shift_Point2,Toward_Point,Actual_Coord,RSSI,Normalized1,Normalized2,Normalized3,Best_Shift,Best_coord,Best_accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy
A,E,B,"[5.1, 8.9]","[-67, -72, -72, -87, -88, -91]","{1.133: [0.183, 0.089, 0.1, 0.526, 0.872, 0.213]}","{0.865: [0.095, 0.125, 0.043, 0.611, 0.375, 0.569]}","{0.356: [0.264, 0.172, 0.217, 0.192, 0.333, 0.247]}",6,"(4.8, 9.3)",0.5,0,"(3.0, 8.3)",2.184,1,"(3.3, 8.5)",1.844,2,"(3.6, 8.7)",1.513,3,"(3.9, 8.8)",1.204,4,"(4.2, 9.0)",0.906,5,"(4.5, 9.2)",0.671,6,"(4.8, 9.3)",0.5,7,"(5.1, 9.5)",0.6,8,"(5.4, 9.7)",0.854,9,"(5.7, 9.8)",1.082
A,B,E,"[3.2, 6.2]","[-47, -50, -64, -73, -74, -72]","{0.767: [0.427, 0.367, 0.2, 0.281, 0.574, 0.04]}","{0.522: [0.484, 0.425, 0.304, 0.0, 0.121, 0.014]}","{0.392: [0.365, 0.219, 0.072, 0.352, 0.156, 0.241]}",6,"(3.0, 6.3)",0.224,0,"(3.0, 8.3)",2.11,1,"(3.0, 8.0)",1.811,2,"(3.0, 7.7)",1.513,3,"(3.0, 7.3)",1.118,4,"(3.0, 7.0)",0.825,5,"(3.0, 6.7)",0.539,6,"(3.0, 6.3)",0.224,7,"(3.0, 6.0)",0.283,8,"(3.0, 5.7)",0.539,9,"(3.0, 5.3)",0.922
C,A,E,"[0.2, 5.8]","[-54, -61, -63, -62, -76, -76]","{0.263: [0.421, 0.141, 0.182, 0.162, 0.084, 0.013]}","{0.602: [0.341, 0.228, 0.212, 0.088, 0.617, 0.013]}","{0.236: [0.27, 0.047, 0.087, 0.148, 0.188, 0.31]}",0,"(1.0, 5.0)",1.131,0,"(1.0, 5.0)",1.131,1,"(1.2, 5.0)",1.281,2,"(1.4, 5.0)",1.442,3,"(1.6, 5.0)",1.612,4,"(1.8, 5.0)",1.789,5,"(2.0, 5.0)",1.97,6,"(2.2, 5.0)",2.154,7,"(2.4, 5.0)",2.341,8,"(2.6, 5.0)",2.53,9,"(2.8, 5.0)",2.72
B,E,A,"[1.5, 7.6]","[-54, -58, -63, -71, -72, -76]","{0.387: [0.407, 0.333, 0.315, 0.027, 0.091, 0.041]}","{0.301: [0.27, 0.094, 0.087, 0.315, 0.125, 0.31]}","{0.576: [0.341, 0.266, 0.212, 0.246, 0.532, 0.013]}",3,"(2.1, 8.8)",1.342,0,"(3.0, 8.3)",1.655,1,"(2.7, 8.5)",1.5,2,"(2.4, 8.7)",1.421,3,"(2.1, 8.8)",1.342,4,"(1.8, 9.0)",1.432,5,"(1.5, 9.2)",1.6,6,"(1.2, 9.3)",1.726,7,"(0.9, 9.5)",1.992,8,"(0.6, 9.7)",2.285,9,"(0.3, 9.8)",2.506
A,C,E,"[1.8, 4.8]","[-58, -69, -68, -74, -73, -73]","{0.52: [0.293, 0.127, 0.15, 0.298, 0.553, 0.027]}","{0.307: [0.526, 0.028, 0.117, 0.0, 0.12, 0.027]}","{0.277: [0.216, 0.078, 0.014, 0.37, 0.141, 0.259]}",4,"(1.8, 5.0)",0.2,0,"(1.0, 5.0)",0.825,1,"(1.2, 5.0)",0.632,2,"(1.4, 5.0)",0.447,3,"(1.6, 5.0)",0.283,4,"(1.8, 5.0)",0.2,5,"(2.0, 5.0)",0.283,6,"(2.2, 5.0)",0.447,7,"(2.4, 5.0)",0.632,8,"(2.6, 5.0)",0.825,9,"(2.8, 5.0)",1.02
C,E,D,"[4.5, 1.5]","[-60, -63, -66, -64, -76, -74]","{0.393: [0.579, 0.113, 0.143, 0.135, 0.084, 0.013]}","{0.183: [0.189, 0.016, 0.043, 0.185, 0.188, 0.276]}","{0.207: [0.211, 0.137, 0.269, 0.2, 0.174, 0.028]}",4,"(4.2, 1.0)",0.583,0,"(3.0, 1.7)",1.513,1,"(3.3, 1.5)",1.2,2,"(3.6, 1.3)",0.922,3,"(3.9, 1.2)",0.671,4,"(4.2, 1.0)",0.583,5,"(4.5, 0.8)",0.7,6,"(4.8, 0.7)",0.854,7,"(5.1, 0.5)",1.166,8,"(5.4, 0.3)",1.5,9,"(5.7, 0.2)",1.769
A,B,E,"[3.2, 7.6]","[-53, -58, -61, -63, -73, -80]","{0.573: [0.354, 0.266, 0.237, 0.105, 0.553, 0.067]}","{0.439: [0.418, 0.333, 0.337, 0.137, 0.106, 0.096]}","{0.295: [0.284, 0.094, 0.116, 0.167, 0.141, 0.379]}",2,"(3.0, 7.7)",0.224,0,"(3.0, 8.3)",0.728,1,"(3.0, 8.0)",0.447,2,"(3.0, 7.7)",0.224,3,"(3.0, 7.3)",0.361,4,"(3.0, 7.0)",0.632,5,"(3.0, 6.7)",0.922,6,"(3.0, 6.3)",1.315,7,"(3.0, 6.0)",1.612,8,"(3.0, 5.7)",1.91,9,"(3.0, 5.3)",2.309
D,E,C,"[1.85, 1.7]","[-55, -60, -65, -68, -78, -84]","{0.243: [0.276, 0.178, 0.25, 0.15, 0.152, 0.167]}","{0.389: [0.257, 0.062, 0.058, 0.259, 0.219, 0.448]}","{0.273: [0.447, 0.155, 0.156, 0.081, 0.06, 0.12]}",3,"(2.1, 1.2)",0.559,0,"(3.0, 1.7)",1.15,1,"(2.7, 1.5)",0.873,2,"(2.4, 1.3)",0.68,3,"(2.1, 1.2)",0.559,4,"(1.8, 1.0)",0.702,5,"(1.5, 0.8)",0.966,6,"(1.2, 0.7)",1.193,7,"(0.9, 0.5)",1.531,8,"(0.6, 0.3)",1.877,9,"(0.3, 0.2)",2.157
B,D,E,"[4.9, 4.2]","[-58, -58, -58, -69, -72, -76]","{0.393: [0.363, 0.333, 0.37, 0.055, 0.091, 0.041]}","{0.18: [0.237, 0.205, 0.115, 0.138, 0.217, 0.056]}","{0.27: [0.216, 0.094, 0.159, 0.278, 0.125, 0.31]}",0,"(5.0, 5.0)",0.806,0,"(5.0, 5.0)",0.806,1,"(4.8, 5.0)",0.806,2,"(4.6, 5.0)",0.854,3,"(4.4, 5.0)",0.943,4,"(4.2, 5.0)",1.063,5,"(4.0, 5.0)",1.204,6,"(3.8, 5.0)",1.36,7,"(3.6, 5.0)",1.526,8,"(3.4, 5.0)",1.7,9,"(3.2, 5.0)",1.879
C,A,E,"[0.95, 6.2]","[-55, -58, -61, -67, -73, -75]","{0.299: [0.447, 0.183, 0.208, 0.095, 0.12, 0.0]}","{0.572: [0.329, 0.266, 0.237, 0.175, 0.553, 0.0]}","{0.252: [0.257, 0.094, 0.116, 0.241, 0.141, 0.293]}",0,"(1.0, 5.0)",1.201,0,"(1.0, 5.0)",1.201,1,"(1.2, 5.0)",1.226,2,"(1.4, 5.0)",1.282,3,"(1.6, 5.0)",1.365,4,"(1.8, 5.0)",1.471,5,"(2.0, 5.0)",1.595,6,"(2.2, 5.0)",1.733,7,"(2.4, 5.0)",1.882,8,"(2.6, 5.0)",2.04,9,"(2.8, 5.0)",2.205
