Shift_Point1,Shift_Point2,Toward_Point,Actual_Coord,RSSI,Normalized1,Normalized2,Normalized3,Best_Shift,Best_coord,Best_accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy
E,B,D,"[5.1, 8.9]","[-67, -72, -72, -87, -88, -91]","{1.133: [0.183, 0.089, 0.1, 0.526, 0.872, 0.213]}","{0.865: [0.095, 0.125, 0.043, 0.611, 0.375, 0.569]}","{0.666: [0.763, 0.014, 0.065, 0.176, 0.06, 0.213]}",0,"(1.0, 5.0)",5.659,0,"(1.0, 5.0)",5.659,1,"(0.9, 4.5)",6.083,2,"(0.8, 4.0)",6.519,3,"(0.7, 3.5)",6.966,4,"(0.6, 3.0)",7.42,5,"(0.5, 2.5)",7.882,6,"(0.4, 2.0)",8.349,7,"(0.3, 1.5)",8.82,8,"(0.2, 1.0)",9.296,9,"(0.1, 0.5)",9.775
E,D,C,"[3.2, 6.2]","[-47, -50, -64, -73, -74, -72]","{0.767: [0.427, 0.367, 0.2, 0.281, 0.574, 0.04]}","{0.522: [0.484, 0.425, 0.304, 0.0, 0.121, 0.014]}","{0.392: [0.365, 0.219, 0.072, 0.352, 0.156, 0.241]}",6,"(3.0, 6.3)",0.224,0,"(3.0, 8.3)",2.11,1,"(3.0, 8.0)",1.811,2,"(3.0, 7.7)",1.513,3,"(3.0, 7.3)",1.118,4,"(3.0, 7.0)",0.825,5,"(3.0, 6.7)",0.539,6,"(3.0, 6.3)",0.224,7,"(3.0, 6.0)",0.283,8,"(3.0, 5.7)",0.539,9,"(3.0, 5.3)",0.922
C,D,E,"[0.2, 5.8]","[-54, -61, -63, -62, -76, -76]","{0.602: [0.341, 0.228, 0.212, 0.088, 0.617, 0.013]}","{0.402: [0.407, 0.299, 0.315, 0.151, 0.152, 0.041]}","{0.263: [0.421, 0.141, 0.182, 0.162, 0.084, 0.013]}",2,"(1.6, 5.3)",1.487,0,"(2.0, 6.7)",2.012,1,"(1.8, 6.0)",1.612,2,"(1.6, 5.3)",1.487,3,"(1.4, 4.7)",1.628,4,"(1.2, 4.0)",2.059,5,"(1.0, 3.3)",2.625,6,"(0.8, 2.7)",3.158,7,"(0.6, 2.0)",3.821,8,"(0.4, 1.3)",4.504,9,"(0.2, 0.7)",5.1
E,C,D,"[1.5, 7.6]","[-54, -58, -63, -71, -72, -76]","{0.576: [0.341, 0.266, 0.212, 0.246, 0.532, 0.013]}","{0.387: [0.407, 0.333, 0.315, 0.027, 0.091, 0.041]}","{0.301: [0.27, 0.094, 0.087, 0.315, 0.125, 0.31]}",2,"(3.0, 7.7)",1.503,0,"(3.0, 8.3)",1.655,1,"(3.0, 8.0)",1.552,2,"(3.0, 7.7)",1.503,3,"(3.0, 7.3)",1.53,4,"(3.0, 7.0)",1.616,5,"(3.0, 6.7)",1.749,6,"(3.0, 6.3)",1.985,7,"(3.0, 6.0)",2.193,8,"(3.0, 5.7)",2.421,9,"(3.0, 5.3)",2.746
E,B,D,"[1.8, 4.8]","[-58, -69, -68, -74, -73, -73]","{0.52: [0.293, 0.127, 0.15, 0.298, 0.553, 0.027]}","{0.307: [0.526, 0.028, 0.117, 0.0, 0.12, 0.027]}","{0.277: [0.216, 0.078, 0.014, 0.37, 0.141, 0.259]}",4,"(1.8, 5.0)",0.2,0,"(1.0, 5.0)",0.825,1,"(1.2, 5.0)",0.632,2,"(1.4, 5.0)",0.447,3,"(1.6, 5.0)",0.283,4,"(1.8, 5.0)",0.2,5,"(2.0, 5.0)",0.283,6,"(2.2, 5.0)",0.447,7,"(2.4, 5.0)",0.632,8,"(2.6, 5.0)",0.825,9,"(2.8, 5.0)",1.02
B,D,E,"[4.5, 1.5]","[-60, -63, -66, -64, -76, -74]","{0.54: [0.268, 0.203, 0.175, 0.123, 0.617, 0.013]}","{0.393: [0.579, 0.113, 0.143, 0.135, 0.084, 0.013]}","{0.31: [0.341, 0.276, 0.283, 0.123, 0.152, 0.014]}",0,"(2.0, 6.7)",5.77,0,"(2.0, 6.7)",5.77,1,"(2.4, 7.0)",5.887,2,"(2.8, 7.3)",6.044,3,"(3.2, 7.7)",6.335,4,"(3.6, 8.0)",6.562,5,"(4.0, 8.3)",6.818,6,"(4.4, 8.7)",7.201,7,"(4.8, 9.0)",7.506,8,"(5.2, 9.3)",7.831,9,"(5.6, 9.7)",8.273
E,C,D,"[3.2, 7.6]","[-53, -58, -61, -63, -73, -80]","{0.573: [0.354, 0.266, 0.237, 0.105, 0.553, 0.067]}","{0.439: [0.418, 0.333, 0.337, 0.137, 0.106, 0.096]}","{0.295: [0.284, 0.094, 0.116, 0.167, 0.141, 0.379]}",2,"(3.0, 7.7)",0.224,0,"(3.0, 8.3)",0.728,1,"(3.0, 8.0)",0.447,2,"(3.0, 7.7)",0.224,3,"(3.0, 7.3)",0.361,4,"(3.0, 7.0)",0.632,5,"(3.0, 6.7)",0.922,6,"(3.0, 6.3)",1.315,7,"(3.0, 6.0)",1.612,8,"(3.0, 5.7)",1.91,9,"(3.0, 5.3)",2.309
E,C,D,"[1.85, 1.7]","[-55, -60, -65, -68, -78, -84]","{0.688: [0.329, 0.241, 0.188, 0.193, 0.66, 0.12]}","{0.4: [0.396, 0.31, 0.293, 0.068, 0.182, 0.151]}","{0.389: [0.257, 0.062, 0.058, 0.259, 0.219, 0.448]}",9,"(3.0, 5.3)",3.779,0,"(3.0, 8.3)",6.699,1,"(3.0, 8.0)",6.404,2,"(3.0, 7.7)",6.109,3,"(3.0, 7.3)",5.717,4,"(3.0, 7.0)",5.423,5,"(3.0, 6.7)",5.131,6,"(3.0, 6.3)",4.742,7,"(3.0, 6.0)",4.451,8,"(3.0, 5.7)",4.162,9,"(3.0, 5.3)",3.779
B,E,D,"[4.9, 4.2]","[-58, -58, -58, -69, -72, -76]","{0.561: [0.293, 0.266, 0.275, 0.211, 0.532, 0.013]}","{0.394: [0.526, 0.183, 0.247, 0.068, 0.133, 0.013]}","{0.393: [0.363, 0.333, 0.37, 0.055, 0.091, 0.041]}",2,"(2.8, 7.3)",3.744,0,"(2.0, 6.7)",3.829,1,"(2.4, 7.0)",3.754,2,"(2.8, 7.3)",3.744,3,"(3.2, 7.7)",3.891,4,"(3.6, 8.0)",4.016,5,"(4.0, 8.3)",4.198,6,"(4.4, 8.7)",4.528,7,"(4.8, 9.0)",4.801,8,"(5.2, 9.3)",5.109,9,"(5.6, 9.7)",5.544
C,E,D,"[0.95, 6.2]","[-55, -58, -61, -67, -73, -75]","{0.572: [0.329, 0.266, 0.237, 0.175, 0.553, 0.0]}","{0.401: [0.396, 0.333, 0.337, 0.082, 0.106, 0.027]}","{0.299: [0.447, 0.183, 0.208, 0.095, 0.12, 0.0]}",1,"(1.8, 6.0)",0.873,0,"(2.0, 6.7)",1.163,1,"(1.8, 6.0)",0.873,2,"(1.6, 5.3)",1.11,3,"(1.4, 4.7)",1.566,4,"(1.2, 4.0)",2.214,5,"(1.0, 3.3)",2.9,6,"(0.8, 2.7)",3.503,7,"(0.6, 2.0)",4.215,8,"(0.4, 1.3)",4.931,9,"(0.2, 0.7)",5.551
