Shift_Point1,Shift_Point2,Toward_Point,Actual_Coord,RSSI,Normalized1,Normalized2,Normalized3,Best_Shift,Best_coord,Best_accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy
A,E,B,"[3.8, 5.6]","[-46, -47, -65, -68, -69, -75]","{0.3: [0.343, 0.277, 0.217, 0.097, 0.113, 0.19]}","{0.423: [0.333, 0.068, 0.03, 0.36, 0.062, 0.415]}","{0.35: [0.465, 0.309, 0.085, 0.062, 0.062, 0.154]}",3,"(3.9, 5.3)",0.316,0,"(3.0, 5.0)",1.0,1,"(3.3, 5.1)",0.707,2,"(3.6, 5.2)",0.447,3,"(3.9, 5.3)",0.316,4,"(4.2, 5.4)",0.447,5,"(4.5, 5.5)",0.707,6,"(4.8, 5.6)",1.0,7,"(5.1, 5.7)",1.304,8,"(5.4, 5.8)",1.612,9,"(5.7, 5.9)",1.924
C,A,E,"[1.05, 3.6]","[-51, -54, -56, -69, -75, -79]","{0.266: [0.342, 0.239, 0.273, 0.068, 0.096, 0.053]}","{0.33: [0.271, 0.169, 0.325, 0.113, 0.21, 0.254]}","{0.556: [0.261, 0.227, 0.164, 0.38, 0.154, 0.491]}",0,"(1.0, 3.0)",0.602,0,"(1.0, 3.0)",0.602,1,"(1.2, 3.0)",0.618,2,"(1.4, 3.0)",0.695,3,"(1.6, 3.0)",0.814,4,"(1.8, 3.0)",0.96,5,"(2.0, 3.0)",1.124,6,"(2.2, 3.0)",1.297,7,"(2.4, 3.0)",1.477,8,"(2.6, 3.0)",1.662,9,"(2.8, 3.0)",1.85
B,D,E,"[4.6, 2.2]","[-61, -67, -71, -65, -68, -78]","{0.127: [0.291, 0.015, 0.0, 0.016, 0.046, 0.2]}","{0.289: [0.197, 0.082, 0.365, 0.188, 0.261, 0.083]}","{0.606: [0.116, 0.523, 0.06, 0.3, 0.046, 0.472]}",2,"(4.6, 3.0)",0.8,0,"(5.0, 3.0)",0.894,1,"(4.8, 3.0)",0.825,2,"(4.6, 3.0)",0.8,3,"(4.4, 3.0)",0.825,4,"(4.2, 3.0)",0.894,5,"(4.0, 3.0)",1.0,6,"(3.8, 3.0)",1.131,7,"(3.6, 3.0)",1.281,8,"(3.4, 3.0)",1.442,9,"(3.2, 3.0)",1.612
B,E,D,"[5.1, 1.9]","[-51, -61, -66, -65, -70, -79]","{0.234: [0.407, 0.103, 0.07, 0.016, 0.077, 0.215]}","{0.554: [0.261, 0.386, 0.015, 0.3, 0.077, 0.491]}","{0.308: [0.329, 0.164, 0.269, 0.188, 0.239, 0.097]}",3,"(5.3, 2.1)",0.283,0,"(5.0, 3.0)",1.105,1,"(5.1, 2.7)",0.8,2,"(5.2, 2.4)",0.51,3,"(5.3, 2.1)",0.283,4,"(5.4, 1.8)",0.316,5,"(5.5, 1.5)",0.566,6,"(5.6, 1.2)",0.86,7,"(5.7, 0.9)",1.166,8,"(5.8, 0.6)",1.476,9,"(5.9, 0.3)",1.789
D,E,B,"[5.5, 5.4]","[-51, -64, -67, -74, -78, -81]","{0.251: [0.329, 0.123, 0.288, 0.075, 0.152, 0.125]}","{0.824: [0.261, 0.455, 0.0, 0.48, 0.2, 0.528]}","{0.297: [0.407, 0.059, 0.056, 0.156, 0.2, 0.246]}",8,"(5.8, 5.4)",0.3,0,"(5.0, 3.0)",2.452,1,"(5.1, 3.3)",2.138,2,"(5.2, 3.6)",1.825,3,"(5.3, 3.9)",1.513,4,"(5.4, 4.2)",1.204,5,"(5.5, 4.5)",0.9,6,"(5.6, 4.8)",0.608,7,"(5.7, 5.1)",0.361,8,"(5.8, 5.4)",0.3,9,"(5.9, 5.7)",0.5
C,E,A,"[0.2, 3.9]","[-66, -64, -64, -70, -76, -77]","{0.593: [0.737, 0.099, 0.169, 0.054, 0.084, 0.027]}","{0.605: [0.043, 0.455, 0.045, 0.4, 0.169, 0.453]}","{0.172: [0.057, 0.015, 0.229, 0.129, 0.226, 0.222]}",3,"(0.7, 3.9)",0.5,0,"(1.0, 3.0)",1.204,1,"(0.9, 3.3)",0.922,2,"(0.8, 3.6)",0.671,3,"(0.7, 3.9)",0.5,4,"(0.6, 4.2)",0.5,5,"(0.5, 4.5)",0.671,6,"(0.4, 4.8)",0.922,7,"(0.3, 5.1)",1.204,8,"(0.2, 5.4)",1.5,9,"(0.1, 5.7)",1.803
B,E,D,"[5.1, 1.9]","[-52, -60, -65, -65, -70, -79]","{0.229: [0.395, 0.118, 0.085, 0.016, 0.077, 0.215]}","{0.531: [0.246, 0.364, 0.03, 0.3, 0.077, 0.491]}","{0.295: [0.316, 0.178, 0.25, 0.188, 0.239, 0.097]}",3,"(5.3, 2.1)",0.283,0,"(5.0, 3.0)",1.105,1,"(5.1, 2.7)",0.8,2,"(5.2, 2.4)",0.51,3,"(5.3, 2.1)",0.283,4,"(5.4, 1.8)",0.316,5,"(5.5, 1.5)",0.566,6,"(5.6, 1.2)",0.86,7,"(5.7, 0.9)",1.166,8,"(5.8, 0.6)",1.476,9,"(5.9, 0.3)",1.789
D,B,E,"[5.5, 3]","[-61, -62, -65, -73, -77, -86]","{0.197: [0.197, 0.151, 0.25, 0.087, 0.163, 0.194]}","{0.258: [0.291, 0.088, 0.085, 0.141, 0.185, 0.323]}","{0.815: [0.116, 0.409, 0.03, 0.46, 0.185, 0.623]}",0,"(5.0, 3.0)",0.5,0,"(5.0, 3.0)",0.5,1,"(4.8, 3.0)",0.7,2,"(4.6, 3.0)",0.9,3,"(4.4, 3.0)",1.1,4,"(4.2, 3.0)",1.3,5,"(4.0, 3.0)",1.5,6,"(3.8, 3.0)",1.7,7,"(3.6, 3.0)",1.9,8,"(3.4, 3.0)",2.1,9,"(3.2, 3.0)",2.3
A,E,B,"[4.4, 5.6]","[-47, -47, -60, -69, -72, -73]","{0.326: [0.329, 0.277, 0.277, 0.113, 0.161, 0.159]}","{0.416: [0.319, 0.068, 0.104, 0.38, 0.108, 0.377]}","{0.357: [0.453, 0.309, 0.155, 0.078, 0.108, 0.123]}",5,"(4.5, 5.5)",0.141,0,"(3.0, 5.0)",1.523,1,"(3.3, 5.1)",1.208,2,"(3.6, 5.2)",0.894,3,"(3.9, 5.3)",0.583,4,"(4.2, 5.4)",0.283,5,"(4.5, 5.5)",0.141,6,"(4.8, 5.6)",0.4,7,"(5.1, 5.7)",0.707,8,"(5.4, 5.8)",1.02,9,"(5.7, 5.9)",1.334
B,E,A,"[0.2, 5.8]","[-53, -61, -62, -63, -77, -76]","{0.237: [0.384, 0.103, 0.127, 0.016, 0.185, 0.169]}","{0.499: [0.232, 0.386, 0.075, 0.26, 0.185, 0.434]}","{0.228: [0.243, 0.062, 0.253, 0.016, 0.242, 0.206]}",9,"(0.3, 5.9)",0.141,0,"(3.0, 5.0)",2.912,1,"(2.7, 5.1)",2.596,2,"(2.4, 5.2)",2.28,3,"(2.1, 5.3)",1.965,4,"(1.8, 5.4)",1.649,5,"(1.5, 5.5)",1.334,6,"(1.2, 5.6)",1.02,7,"(0.9, 5.7)",0.707,8,"(0.6, 5.8)",0.4,9,"(0.3, 5.9)",0.141
B,E,A,"[1.4, 5.1]","[-48, -70, -68, -71, -72, -74]","{0.241: [0.442, 0.029, 0.042, 0.109, 0.108, 0.138]}","{0.786: [0.304, 0.591, 0.015, 0.42, 0.108, 0.396]}","{0.216: [0.314, 0.077, 0.181, 0.145, 0.161, 0.175]}",5,"(1.5, 5.5)",0.412,0,"(3.0, 5.0)",1.603,1,"(2.7, 5.1)",1.3,2,"(2.4, 5.2)",1.005,3,"(2.1, 5.3)",0.728,4,"(1.8, 5.4)",0.5,5,"(1.5, 5.5)",0.412,6,"(1.2, 5.6)",0.539,7,"(0.9, 5.7)",0.781,8,"(0.6, 5.8)",1.063,9,"(0.3, 5.9)",1.36
C,A,E,"[0.2, 3.1]","[-64, -67, -69, -75, -73, -82]","{0.505: [0.684, 0.056, 0.104, 0.014, 0.12, 0.093]}","{0.203: [0.086, 0.031, 0.169, 0.21, 0.177, 0.302]}","{0.844: [0.072, 0.523, 0.03, 0.5, 0.123, 0.547]}",0,"(1.0, 3.0)",0.806,0,"(1.0, 3.0)",0.806,1,"(1.2, 3.0)",1.005,2,"(1.4, 3.0)",1.204,3,"(1.6, 3.0)",1.404,4,"(1.8, 3.0)",1.603,5,"(2.0, 3.0)",1.803,6,"(2.2, 3.0)",2.002,7,"(2.4, 3.0)",2.202,8,"(2.6, 3.0)",2.402,9,"(2.8, 3.0)",2.602
B,A,E,"[1.8, 4.8]","[-57, -72, -66, -73, -73, -72]","{0.169: [0.337, 0.059, 0.07, 0.141, 0.123, 0.108]}","{0.171: [0.186, 0.108, 0.205, 0.177, 0.177, 0.143]}","{0.789: [0.174, 0.636, 0.015, 0.46, 0.123, 0.358]}",1,"(3.0, 4.8)",1.2,0,"(3.0, 5.0)",1.217,1,"(3.0, 4.8)",1.2,2,"(3.0, 4.6)",1.217,3,"(3.0, 4.4)",1.265,4,"(3.0, 4.2)",1.342,5,"(3.0, 4.0)",1.442,6,"(3.0, 3.8)",1.562,7,"(3.0, 3.6)",1.697,8,"(3.0, 3.4)",1.844,9,"(3.0, 3.2)",2.0
