Shift_Point1,Shift_Point2,Toward_Point,Actual_Coord,RSSI,Normalized1,Normalized2,Normalized3,Best_Shift,Best_coord,Best_accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy
E,A,C,"[3.8, 5.6]","[-46, -47, -65, -68, -69, -75]","{0.431: [0.395, 0.356, 0.25, 0.15, 0.25, 0.042]}","{0.423: [0.333, 0.068, 0.03, 0.36, 0.062, 0.415]}","{0.35: [0.465, 0.309, 0.085, 0.062, 0.062, 0.154]}",7,"(5.7, 5.1)",1.965,0,"(5.0, 3.0)",2.864,1,"(5.1, 3.3)",2.642,2,"(5.2, 3.6)",2.441,3,"(5.3, 3.9)",2.267,4,"(5.4, 4.2)",2.126,5,"(5.5, 4.5)",2.025,6,"(5.6, 4.8)",1.97,7,"(5.7, 5.1)",1.965,8,"(5.8, 5.4)",2.01,9,"(5.9, 5.7)",2.102
E,C,D,"[1.05, 3.6]","[-51, -54, -56, -69, -75, -79]","{0.556: [0.261, 0.227, 0.164, 0.38, 0.154, 0.491]}","{0.33: [0.271, 0.169, 0.325, 0.113, 0.21, 0.254]}","{0.329: [0.407, 0.206, 0.211, 0.078, 0.154, 0.215]}",0,"(3.0, 5.0)",2.401,0,"(3.0, 5.0)",2.401,1,"(3.3, 5.1)",2.704,2,"(3.6, 5.2)",3.01,3,"(3.9, 5.3)",3.319,4,"(4.2, 5.4)",3.628,5,"(4.5, 5.5)",3.939,6,"(4.8, 5.6)",4.25,7,"(5.1, 5.7)",4.562,8,"(5.4, 5.8)",4.875,9,"(5.7, 5.9)",5.188
E,B,A,"[4.6, 2.2]","[-61, -67, -71, -65, -68, -78]","{0.606: [0.116, 0.523, 0.06, 0.3, 0.046, 0.472]}","{0.425: [0.605, 0.056, 0.078, 0.122, 0.181, 0.04]}","{0.289: [0.197, 0.082, 0.365, 0.188, 0.261, 0.083]}",4,"(4.2, 0.6)",1.649,0,"(3.0, 1.0)",2.0,1,"(3.3, 0.9)",1.838,2,"(3.6, 0.8)",1.72,3,"(3.9, 0.7)",1.655,4,"(4.2, 0.6)",1.649,5,"(4.5, 0.5)",1.703,6,"(4.8, 0.4)",1.811,7,"(5.1, 0.3)",1.965,8,"(5.4, 0.2)",2.154,9,"(5.7, 0.1)",2.371
E,A,C,"[5.1, 1.9]","[-51, -61, -66, -65, -70, -79]","{0.554: [0.261, 0.386, 0.015, 0.3, 0.077, 0.491]}","{0.308: [0.329, 0.164, 0.269, 0.188, 0.239, 0.097]}","{0.234: [0.407, 0.103, 0.07, 0.016, 0.077, 0.215]}",0,"(5.0, 3.0)",1.105,0,"(5.0, 3.0)",1.105,1,"(5.1, 3.3)",1.4,2,"(5.2, 3.6)",1.703,3,"(5.3, 3.9)",2.01,4,"(5.4, 4.2)",2.319,5,"(5.5, 4.5)",2.631,6,"(5.6, 4.8)",2.943,7,"(5.7, 5.1)",3.256,8,"(5.8, 5.4)",3.569,9,"(5.9, 5.7)",3.883
E,D,C,"[5.5, 5.4]","[-51, -64, -67, -74, -78, -81]","{0.824: [0.261, 0.455, 0.0, 0.48, 0.2, 0.528]}","{0.297: [0.271, 0.015, 0.193, 0.194, 0.258, 0.286]}","{0.297: [0.407, 0.059, 0.056, 0.156, 0.2, 0.246]}",8,"(5.4, 5.8)",0.412,0,"(3.0, 5.0)",2.532,1,"(3.3, 5.1)",2.22,2,"(3.6, 5.2)",1.91,3,"(3.9, 5.3)",1.603,4,"(4.2, 5.4)",1.3,5,"(4.5, 5.5)",1.005,6,"(4.8, 5.6)",0.728,7,"(5.1, 5.7)",0.5,8,"(5.4, 5.8)",0.412,9,"(5.7, 5.9)",0.539
E,B,D,"[0.2, 3.9]","[-66, -64, -64, -70, -76, -77]","{0.605: [0.043, 0.455, 0.045, 0.4, 0.169, 0.453]}","{0.593: [0.737, 0.099, 0.169, 0.054, 0.084, 0.027]}","{0.172: [0.057, 0.015, 0.229, 0.129, 0.226, 0.222]}",3,"(0.7, 3.9)",0.5,0,"(1.0, 3.0)",1.204,1,"(0.9, 3.3)",0.922,2,"(0.8, 3.6)",0.671,3,"(0.7, 3.9)",0.5,4,"(0.6, 4.2)",0.5,5,"(0.5, 4.5)",0.671,6,"(0.4, 4.8)",0.922,7,"(0.3, 5.1)",1.204,8,"(0.2, 5.4)",1.5,9,"(0.1, 5.7)",1.803
E,C,A,"[5.1, 1.9]","[-52, -60, -65, -65, -70, -79]","{0.531: [0.246, 0.364, 0.03, 0.3, 0.077, 0.491]}","{0.295: [0.316, 0.178, 0.25, 0.188, 0.239, 0.097]}","{0.229: [0.395, 0.118, 0.085, 0.016, 0.077, 0.215]}",0,"(5.0, 3.0)",1.105,0,"(5.0, 3.0)",1.105,1,"(5.1, 3.3)",1.4,2,"(5.2, 3.6)",1.703,3,"(5.3, 3.9)",2.01,4,"(5.4, 4.2)",2.319,5,"(5.5, 4.5)",2.631,6,"(5.6, 4.8)",2.943,7,"(5.7, 5.1)",3.256,8,"(5.8, 5.4)",3.569,9,"(5.9, 5.7)",3.883
E,B,D,"[5.5, 3]","[-61, -62, -65, -73, -77, -86]","{0.815: [0.116, 0.409, 0.03, 0.46, 0.185, 0.623]}","{0.433: [0.605, 0.127, 0.156, 0.014, 0.072, 0.147]}","{0.289: [0.129, 0.046, 0.217, 0.177, 0.242, 0.365]}",0,"(1.0, 3.0)",4.5,0,"(1.0, 3.0)",4.5,1,"(0.9, 3.3)",4.61,2,"(0.8, 3.6)",4.738,3,"(0.7, 3.9)",4.884,4,"(0.6, 4.2)",5.045,5,"(0.5, 4.5)",5.22,6,"(0.4, 4.8)",5.408,7,"(0.3, 5.1)",5.608,8,"(0.2, 5.4)",5.818,9,"(0.1, 5.7)",6.037
E,A,C,"[4.4, 5.6]","[-47, -47, -60, -69, -72, -73]","{0.416: [0.319, 0.068, 0.104, 0.38, 0.108, 0.377]}","{0.363: [0.382, 0.356, 0.154, 0.138, 0.217, 0.014]}","{0.357: [0.453, 0.309, 0.155, 0.078, 0.108, 0.123]}",7,"(5.7, 5.1)",1.393,0,"(5.0, 3.0)",2.668,1,"(5.1, 3.3)",2.404,2,"(5.2, 3.6)",2.154,3,"(5.3, 3.9)",1.924,4,"(5.4, 4.2)",1.72,5,"(5.5, 4.5)",1.556,6,"(5.6, 4.8)",1.442,7,"(5.7, 5.1)",1.393,8,"(5.8, 5.4)",1.414,9,"(5.9, 5.7)",1.503
E,B,A,"[0.2, 5.8]","[-53, -61, -62, -63, -77, -76]","{0.499: [0.232, 0.386, 0.075, 0.26, 0.185, 0.434]}","{0.241: [0.395, 0.141, 0.195, 0.149, 0.072, 0.013]}","{0.237: [0.384, 0.103, 0.127, 0.016, 0.185, 0.169]}",0,"(3.0, 3.0)",3.96,0,"(3.0, 3.0)",3.96,1,"(3.3, 3.3)",3.982,2,"(3.6, 3.6)",4.05,3,"(3.9, 3.9)",4.159,4,"(4.2, 4.2)",4.308,5,"(4.5, 4.5)",4.492,6,"(4.8, 4.8)",4.707,7,"(5.1, 5.1)",4.95,8,"(5.4, 5.4)",5.215,9,"(5.7, 5.7)",5.501
