RSSI,actual_cp,RF_cp,SVM_cp,3NN_cp,5NN_cp,7NN_cp,10NN_cp,15NN_cp
"[-76, -64, -63, -66, -74, -60]",D,D,E,E,E,E,E,E
"[-55, -67, -60, -78, -83, -68]",C,C,C,C,C,C,C,C
"[-66, -48, -68, -71, -65, -57]",E,D,E,E,E,E,E,E
"[-77, -71, -80, -47, -56, -66]",A,A,A,A,A,A,A,A
"[-75, -62, -73, -47, -69, -46]",E,E,E,E,E,E,E,E
"[-61, -67, -70, -65, -72, -66]",D,D,C,C,C,C,C,C
"[-83, -78, -84, -56, -61, -65]",A,A,A,A,A,A,A,A
"[-80, -51, -67, -52, -60, -61]",E,E,E,E,E,E,E,E
"[-80, -77, -65, -57, -74, -54]",E,E,E,E,E,E,E,E
"[-77, -72, -84, -61, -67, -54]",E,E,A,A,A,A,A,A
"[-70, -68, -83, -59, -50, -58]",A,A,A,A,A,A,A,A
"[-81, -75, -66, -54, -71, -23]",B,E,E,E,E,E,E,E
"[-71, -61, -69, -66, -79, -69]",D,C,D,D,D,D,D,D
"[-70, -72, -86, -58, -49, -59]",A,A,A,A,A,A,A,A
"[-74, -71, -86, -61, -67, -54]",E,E,A,A,A,A,A,A
"[-81, -52, -68, -52, -60, -62]",E,E,E,E,E,E,E,E
"[-82, -77, -87, -55, -60, -65]",A,A,A,A,A,A,A,A
"[-81, -75, -67, -54, -70, -23]",B,E,E,E,E,E,E,E
"[-88, -76, -77, -67, -69, -59]",A,B,B,B,B,B,B,B
"[-69, -52, -74, -62, -85, -58]",E,E,C,C,C,C,C,C
"[-60, -53, -73, -60, -77, -66]",C,E,C,C,C,C,C,C
"[-70, -61, -68, -66, -79, -70]",D,C,D,D,D,D,D,D
"[-80, -52, -68, -53, -60, -62]",E,E,E,E,E,E,E,E
"[-72, -68, -73, -58, -73, -68]",E,E,E,E,E,E,E,E
"[-65, -65, -66, -59, -69, -69]",C,E,E,E,E,E,E,E
"[-65, -64, -75, -73, -78, -73]",D,D,D,D,D,D,D,D
"[-79, -75, -71, -50, -56, -54]",E,E,E,E,E,E,E,E
"[-76, -64, -63, -66, -74, -60]",D,D,E,E,E,E,E,E
"[-82, -68, -72, -61, -65, -51]",E,E,E,E,E,E,E,E
"[-70, -64, -79, -70, -80, -73]",D,D,D,D,D,D,D,D
"[-74, -61, -73, -47, -70, -46]",E,E,E,E,E,E,E,E
"[-80, -75, -71, -50, -56, -54]",E,E,E,E,E,E,E,E
"[-54, -66, -60, -78, -83, -68]",C,C,C,C,C,C,C,C
"[-85, -71, -78, -59, -57, -59]",B,A,E,E,E,E,E,E
"[-77, -72, -79, -46, -56, -67]",A,A,A,A,A,A,A,A
"[-75, -72, -67, -47, -67, -46]",E,E,E,E,E,E,E,E
"[-64, -80, -63, -56, -69, -60]",E,E,E,E,E,E,E,E
"[-76, -78, -74, -48, -63, -51]",E,E,E,E,E,E,E,E
"[-73, -71, -76, -54, -63, -58]",A,E,E,E,E,E,E,E
"[-67, -52, -70, -64, -73, -64]",E,D,E,E,E,E,E,E
"[-82, -68, -73, -61, -65, -51]",E,E,E,E,E,E,E,E
"[-74, -65, -67, -61, -74, -49]",B,E,E,E,E,E,E,E
"[-76, -70, -78, -48, -57, -68]",A,A,A,A,A,A,A,A
"[-64, -61, -81, -64, -82, -66]",D,A,C,C,C,C,C,C
"[-73, -63, -80, -60, -53, -58]",B,A,A,A,A,A,A,A
"[-62, -47, -65, -66, -83, -66]",E,C,C,C,C,C,C,C
"[-78, -67, -77, -48, -58, -66]",A,A,E,E,A,A,E,E
"[-74, -65, -66, -60, -72, -49]",B,E,E,E,E,E,E,E
"[-80, -78, -65, -56, -74, -53]",E,E,E,E,E,E,E,E
"[-64, -70, -64, -54, -72, -59]",E,E,E,E,E,E,E,E
"[-79, -78, -70, -48, -55, -52]",E,E,E,E,E,E,E,E
"[-60, -50, -70, -59, -80, -68]",C,E,C,C,C,C,C,C
"[-87, -73, -77, -59, -57, -59]",B,A,E,E,E,E,E,E
"[-69, -65, -85, -54, -54, -68]",A,A,A,A,A,A,A,A
"[-66, -48, -68, -71, -64, -57]",E,D,E,E,E,E,E,E
"[-74, -63, -79, -61, -52, -58]",B,A,A,A,A,A,A,A
"[-73, -71, -76, -54, -63, -58]",A,E,E,E,E,E,E,E
"[-64, -64, -65, -58, -70, -69]",C,E,E,E,E,E,E,E
"[-76, -71, -74, -52, -76, -65]",E,E,E,E,E,E,E,E
"[-71, -61, -69, -66, -79, -69]",D,C,D,D,D,D,D,D
"[-66, -49, -69, -65, -66, -57]",E,D,E,E,E,E,E,E
"[-83, -67, -71, -60, -65, -48]",E,E,E,E,E,E,E,E
"[-88, -80, -77, -66, -67, -58]",A,B,B,B,B,B,B,B
"[-69, -66, -85, -55, -55, -68]",A,A,A,A,A,A,A,A
"[-65, -65, -65, -59, -69, -69]",C,E,E,E,E,E,E,E
"[-78, -68, -74, -50, -74, -64]",E,E,E,E,E,E,E,E
"[-75, -59, -70, -57, -71, -58]",E,E,E,E,E,E,E,E
"[-69, -57, -70, -65, -80, -55]",E,C,E,E,E,E,E,E
"[-74, -63, -79, -61, -52, -58]",B,A,A,A,A,A,A,A
"[-75, -72, -68, -47, -67, -47]",E,E,E,E,E,E,E,E
"[-60, -75, -78, -73, -81, -80]",C,D,D,D,D,D,D,D
"[-66, -49, -69, -66, -66, -57]",E,D,E,E,E,E,E,E
"[-61, -67, -69, -66, -72, -66]",D,D,C,C,C,C,C,C
"[-79, -67, -77, -48, -58, -66]",A,A,E,E,E,E,E,E
"[-75, -70, -78, -47, -57, -67]",A,A,A,A,A,A,A,A
"[-67, -52, -73, -67, -62, -60]",E,D,E,E,E,E,E,E
"[-77, -69, -78, -48, -57, -68]",A,A,A,A,A,A,A,A
"[-66, -52, -74, -66, -62, -58]",E,D,E,E,E,E,E,E
"[-80, -79, -70, -49, -56, -54]",E,E,E,E,E,E,E,E
"[-75, -59, -70, -57, -71, -59]",E,E,E,E,E,E,E,E
"[-67, -68, -61, -67, -71, -66]",D,D,D,D,D,D,D,D
"[-60, -52, -71, -60, -76, -67]",C,E,C,C,C,C,C,C
"[-74, -70, -77, -54, -63, -58]",A,E,E,E,E,E,E,E
"[-76, -64, -63, -66, -74, -60]",D,D,E,E,E,E,E,E
"[-79, -79, -70, -48, -55, -51]",E,E,E,E,E,E,E,E
"[-76, -58, -70, -58, -73, -59]",E,E,E,E,E,E,E,E
"[-76, -64, -63, -66, -74, -60]",D,D,E,E,E,E,E,E
"[-63, -67, -64, -54, -72, -60]",E,E,E,E,E,E,E,E
"[-70, -68, -83, -59, -50, -58]",A,A,A,A,A,A,A,A
"[-78, -72, -86, -59, -70, -55]",E,E,A,A,A,A,A,A
"[-71, -62, -69, -66, -79, -70]",D,C,D,D,D,D,D,D
"[-66, -52, -69, -61, -76, -62]",E,E,E,E,E,E,E,E
"[-89, -80, -82, -64, -66, -59]",A,B,B,B,B,B,B,B
"[-69, -57, -70, -64, -81, -54]",E,E,E,E,E,E,E,E
"[-67, -52, -69, -64, -73, -61]",E,E,E,E,E,E,E,E
"[-66, -48, -68, -71, -65, -56]",E,D,E,E,E,E,E,E
"[-76, -58, -69, -58, -72, -58]",E,E,E,E,E,E,E,E
"[-74, -65, -67, -59, -71, -49]",B,E,E,E,E,E,E,E
"[-79, -79, -70, -48, -55, -52]",E,E,E,E,E,E,E,E
"[-77, -31, -73, -55, -65, -57]",E,E,E,E,E,E,E,E
"[-81, -74, -66, -54, -71, -23]",B,E,E,E,E,E,E,E
"[-65, -64, -78, -72, -79, -73]",D,D,D,D,D,D,D,D
"[-70, -70, -65, -67, -72, -67]",D,D,D,D,D,D,D,D
"[-89, -79, -83, -63, -65, -60]",A,B,B,B,B,B,B,B
"[-69, -58, -70, -64, -76, -56]",E,E,E,E,E,E,E,E
"[-80, -79, -69, -48, -55, -51]",E,E,E,E,E,E,E,E
"[-71, -67, -85, -60, -49, -59]",A,A,A,A,A,A,A,A
"[-75, -72, -68, -47, -67, -47]",E,E,E,E,E,E,E,E
"[-76, -50, -80, -54, -68, -55]",E,E,E,E,E,E,E,E
"[-81, -75, -67, -55, -70, -24]",B,E,E,E,E,E,E,E
"[-80, -78, -65, -57, -74, -53]",E,E,E,E,E,E,E,E
"[-67, -52, -74, -61, -78, -57]",E,E,E,E,E,E,E,E
"[-67, -52, -73, -68, -62, -59]",E,D,E,E,E,E,E,E
"[-66, -48, -68, -71, -65, -57]",E,D,E,E,E,E,E,E
"[-68, -53, -73, -67, -63, -59]",E,D,E,E,E,E,E,E
"[-65, -50, -70, -60, -72, -65]",E,E,E,E,E,E,E,E
"[-65, -70, -81, -64, -82, -66]",D,A,C,C,C,C,C,C
"[-66, -52, -75, -60, -77, -57]",E,A,E,E,E,E,E,E
"[-64, -64, -65, -58, -70, -70]",C,E,D,E,E,E,E,E
"[-76, -57, -76, -55, -60, -65]",E,A,E,E,E,E,E,E
"[-76, -58, -76, -55, -60, -65]",E,A,E,E,E,E,E,E
"[-76, -58, -70, -57, -72, -58]",E,E,E,E,E,E,E,E
"[-65, -49, -71, -60, -71, -65]",E,E,E,E,E,E,E,E
"[-73, -63, -80, -60, -53, -58]",B,A,A,A,A,A,A,A
"[-73, -60, -71, -47, -69, -47]",E,E,E,E,E,E,E,E
"[-77, -71, -80, -46, -56, -65]",A,A,A,A,A,A,A,A
"[-70, -72, -86, -58, -49, -59]",A,A,A,A,A,A,A,A
"[-66, -48, -72, -60, -71, -65]",E,E,E,E,E,E,E,E
"[-68, -61, -65, -67, -78, -71]",D,D,D,D,D,D,D,D
"[-75, -63, -78, -60, -55, -57]",B,A,A,A,A,A,A,A
"[-79, -52, -67, -53, -61, -62]",E,E,E,E,E,E,E,E
"[-89, -82, -80, -65, -66, -58]",A,B,B,B,B,B,B,B
"[-69, -62, -83, -53, -51, -68]",A,A,A,A,A,A,A,A
"[-64, -70, -64, -54, -71, -59]",E,E,E,E,E,E,E,E
"[-75, -72, -72, -51, -77, -65]",E,E,E,E,E,E,E,E
"[-78, -67, -77, -48, -58, -66]",A,A,E,E,A,A,E,E
"[-74, -65, -67, -60, -74, -48]",B,E,E,E,E,E,E,E
"[-69, -61, -66, -66, -78, -70]",D,C,D,D,D,D,D,D
"[-76, -69, -78, -48, -57, -68]",A,A,A,A,A,A,A,A
"[-74, -65, -68, -61, -75, -49]",B,E,E,E,E,E,E,E
"[-79, -75, -65, -55, -74, -54]",E,E,E,E,E,E,E,E
"[-70, -70, -84, -59, -49, -58]",A,A,A,A,A,A,A,A
"[-66, -68, -81, -64, -82, -66]",D,A,C,C,C,C,C,C
"[-76, -60, -70, -56, -71, -58]",E,E,E,E,E,E,E,E
"[-73, -69, -73, -59, -73, -68]",E,E,E,E,E,E,E,E
"[-76, -49, -82, -53, -69, -55]",E,E,E,E,E,E,E,E
