Shift_Point1,Shift_Point2,Toward_Point,Actual_Coord,RSSI,Best_Shift,Best_accuracy,Best_coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord
C,E,D,"[4.5, 1.5]","[-76, -64, -63, -66, -74, -60]",7,0.141,"(4.4, 1.4)",0,1.7,"(3.0, 2.3)",1,1.476,"(3.2, 2.2)",2,1.253,"(3.4, 2.1)",3,0.985,"(3.6, 1.9)",4,0.762,"(3.8, 1.8)",5,0.539,"(4.0, 1.7)",6,0.3,"(4.2, 1.5)",7,0.141,"(4.4, 1.4)",8,0.224,"(4.6, 1.3)",9,0.5,"(4.8, 1.1)"
D,E,C,"[1.85, 1.7]","[-55, -67, -60, -78, -83, -68]",5,0.15,"(2.0, 1.7)",0,1.297,"(3.0, 2.3)",1,1.074,"(2.8, 2.2)",2,0.85,"(2.6, 2.1)",3,0.585,"(2.4, 1.9)",4,0.364,"(2.2, 1.8)",5,0.15,"(2.0, 1.7)",6,0.206,"(1.8, 1.5)",7,0.391,"(1.6, 1.4)",8,0.602,"(1.4, 1.3)",9,0.885,"(1.2, 1.1)"
E,C,D,"[1.8, 3.9]","[-66, -48, -68, -71, -65, -57]",0,2,"(3.0, 2.3)",0,2,"(3.0, 2.3)",1,2.202,"(3.2, 2.2)",2,2.408,"(3.4, 2.1)",3,2.691,"(3.6, 1.9)",4,2.9,"(3.8, 1.8)",5,3.111,"(4.0, 1.7)",6,3.394,"(4.2, 1.5)",7,3.607,"(4.4, 1.4)",8,3.821,"(4.6, 1.3)",9,4.104,"(4.8, 1.1)"
B,E,A,"[1.3, 6.9]","[-77, -71, -80, -47, -56, -66]",5,1.565,"(2.0, 8.3)",0,1.879,"(3.0, 7.7)",1,1.749,"(2.8, 7.8)",2,1.64,"(2.6, 7.9)",3,1.628,"(2.4, 8.1)",4,1.581,"(2.2, 8.2)",5,1.565,"(2.0, 8.3)",6,1.676,"(1.8, 8.5)",7,1.726,"(1.6, 8.6)",8,1.803,"(1.4, 8.7)",9,2.002,"(1.2, 8.9)"
B,D,E,"[4.4, 5.6]","[-75, -62, -73, -47, -69, -46]",0,0.608,"(4.3, 5.0)",0,0.608,"(4.3, 5.0)",1,0.632,"(4.2, 5.0)",2,0.671,"(4.1, 5.0)",3,0.781,"(3.9, 5.0)",4,0.849,"(3.8, 5.0)",5,0.922,"(3.7, 5.0)",6,1.082,"(3.5, 5.0)",7,1.166,"(3.4, 5.0)",8,1.253,"(3.3, 5.0)",9,1.432,"(3.1, 5.0)"
E,C,D,"[3.9, 1.4]","[-61, -67, -70, -65, -72, -66]",5,0.316,"(4.0, 1.7)",0,1.273,"(3.0, 2.3)",1,1.063,"(3.2, 2.2)",2,0.86,"(3.4, 2.1)",3,0.583,"(3.6, 1.9)",4,0.412,"(3.8, 1.8)",5,0.316,"(4.0, 1.7)",6,0.316,"(4.2, 1.5)",7,0.5,"(4.4, 1.4)",8,0.707,"(4.6, 1.3)",9,0.949,"(4.8, 1.1)"
E,B,A,"[2.6, 8.2]","[-83, -78, -84, -56, -61, -65]",3,0.224,"(2.4, 8.1)",0,0.64,"(3.0, 7.7)",1,0.447,"(2.8, 7.8)",2,0.3,"(2.6, 7.9)",3,0.224,"(2.4, 8.1)",4,0.4,"(2.2, 8.2)",5,0.608,"(2.0, 8.3)",6,0.854,"(1.8, 8.5)",7,1.077,"(1.6, 8.6)",8,1.3,"(1.4, 8.7)",9,1.565,"(1.2, 8.9)"
B,A,E,"[3.05, 4.3]","[-80, -51, -67, -52, -60, -61]",9,1.001,"(3.0, 5.3)",0,3.4,"(3.0, 7.7)",1,3.1,"(3.0, 7.4)",2,2.8,"(3.0, 7.1)",3,2.6,"(3.0, 6.9)",4,2.301,"(3.0, 6.6)",5,2.001,"(3.0, 6.3)",6,1.801,"(3.0, 6.1)",7,1.501,"(3.0, 5.8)",8,1.201,"(3.0, 5.5)",9,1.001,"(3.0, 5.3)"
D,B,E,"[4.9, 5]","[-80, -77, -65, -57, -74, -54]",0,0.6,"(4.3, 5.0)",0,0.6,"(4.3, 5.0)",1,0.7,"(4.2, 5.0)",2,0.8,"(4.1, 5.0)",3,1,"(3.9, 5.0)",4,1.1,"(3.8, 5.0)",5,1.2,"(3.7, 5.0)",6,1.4,"(3.5, 5.0)",7,1.5,"(3.4, 5.0)",8,1.6,"(3.3, 5.0)",9,1.8,"(3.1, 5.0)"
A,B,E,"[2.1, 6.2]","[-77, -72, -84, -61, -67, -54]",6,0.906,"(3.0, 6.1)",0,1.749,"(3.0, 7.7)",1,1.5,"(3.0, 7.4)",2,1.273,"(3.0, 7.1)",3,1.14,"(3.0, 6.9)",4,0.985,"(3.0, 6.6)",5,0.906,"(3.0, 6.3)",6,0.906,"(3.0, 6.1)",7,0.985,"(3.0, 5.8)",8,1.14,"(3.0, 5.5)",9,1.273,"(3.0, 5.3)"
B,E,A,"[2.2, 7.4]","[-70, -68, -83, -59, -50, -58]",2,0.64,"(2.6, 7.9)",0,0.854,"(3.0, 7.7)",1,0.721,"(2.8, 7.8)",2,0.64,"(2.6, 7.9)",3,0.728,"(2.4, 8.1)",4,0.8,"(2.2, 8.2)",5,0.922,"(2.0, 8.3)",6,1.17,"(1.8, 8.5)",7,1.342,"(1.6, 8.6)",8,1.526,"(1.4, 8.7)",9,1.803,"(1.2, 8.9)"
