_id,gp25,gp26,gp27,gp28,gp29,gp30,gp31,gp32,gp33,gp34
615f71793d0c66082ceff037,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-56,-53,-54,-54,-52,-52,-54,-52,-53,-53,-53,-53,-55,-54,-53,-54,-54,-54,-53,-52,-50,-53,-53,-53,-50,-52,-52,-52,-52,-52,-50]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-63,-64,-64,-63,-63,-61,-62,-62,-62,-63,-65,-65,-66,-65,-64,-64,-63,-63,-66,-64,-63,-63,-65,-65,-61,-64,-63,-62,-64,-62,-62,-63,-64,-63]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-85,-85,-85,-85,-86,-86,-86,-86,-86,-86,-85,-85,-85,-84,-85,-84,-85,-85,-85,-83,-83,-83,-85,-82,-83,-84,-84,-84,-84,-83,-83,-86,-84,-84,-84]}]",,,,,,,,,
615f71793d0c66082ceff038,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-47,-48,-48,-48,-49,-47,-48,-48,-47,-48,-47,-47,-48,-47,-48,-48,-48,-48,-49,-48,-48,-48,-49,-48,-48,-48,-47,-48,-49,-48,-48,-48,-48]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-69,-68,-67,-69,-68,-68,-69,-68,-68,-67,-68,-68,-68,-69,-67,-68,-67,-67,-68,-68,-68,-69,-68,-68,-68,-68,-69,-68,-67,-68,-69,-70,-69,-69]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-83,-83,-83,-83,-83,-83,-84,-83,-83,-83,-83,-83,-83,-83,-84,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-82,-83,-83,-83,-82,-83,-84,-83,-83]}]",,,,,,,,,
615f71793d0c66082ceff039,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-43,-44,-44,-44,-44,-44,-41,-43,-43,-43,-41,-43,-43,-43,-43,-43,-43,-42,-43,-42,-42,-45,-42,-43,-43,-43,-43,-42,-43,-43,-42,-42,-42,-42]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-61,-61,-61,-61,-62,-62,-59,-60,-60,-60,-59,-59,-60,-61,-59,-59,-61,-61,-61,-60,-60,-60,-60,-61,-61,-61,-60,-61,-62,-62,-60,-59,-61,-61]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-81,-79,-79,-79,-79,-80,-81,-80,-80,-80,-81,-80,-81,-81,-81,-81,-81,-81,-80,-81,-80,-80,-80,-80,-81,-81,-80,-80,-80,-82,-81,-81,-81,-81]}]",,,,,,,,,
615f71793d0c66082ceff03a,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-51,-51,-48,-47,-48,-48,-50,-49,-49,-49,-48,-49,-49,-48,-52,-51,-49,-49,-49,-49,-49,-51,-51,-52,-50,-50,-51,-49,-50,-51,-52,-52,-52,-51]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-66,-66,-64,-65,-63,-64,-64,-66,-66,-65,-66,-66,-65,-66,-65,-64,-64,-65,-63,-66,-66,-63,-65,-65,-65,-64,-63,-63,-63,-63,-64,-64,-65,-65,-64]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-78,-80,-80,-80,-82,-80,-80,-80,-80,-80,-80,-90,-80,-79,-79,-80,-81,-80,-80,-80,-80,-80,-80,-80,-79,-79,-79,-79,-79,-79,-80,-80,-80,-80,-80]}]",,,,,,,,,
615f71793d0c66082ceff03b,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-45,-45,-45,-45,-42,-43,-42,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-42,-45,-46,-45,-45,-45,-45,-45,-46,-46,-46,-46,-47,-46,-46,-46]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-64,-63,-62,-62,-64,-63,-63,-63,-64,-64,-63,-63,-63,-64,-65,-65,-65,-64,-64,-65,-67,-65,-65,-64,-64,-64,-64,-64,-63,-64,-63,-65,-65,-65,-65]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-81,-82,-79,-80,-81,-81,-80,-80,-80,-80,-80,-80,-85,-81,-80,-80,-80,-79,-79,-80,-80,-80,-80,-80,-80,-80,-80,-81,-80,-80,-80,-80,-80,-80,-80]}]",,,,,,,,,
615f71793d0c66082ceff03c,,,,,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-43,-42,-45,-44,-44,-44,-44,-44,-44,-44,-43,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-43,-44,-44,-44,-44,-44,-44,-44,-43,-44,-44]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-57,-57,-57,-57,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-57,-57,-56,-56,-55,-56,-56,-56,-55,-55,-56,-57,-56,-56,-56,-56,-56]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-79,-79,-80,-81,-80,-81,-81,-80,-81,-81,-81,-81,-80,-79,-81,-80,-80,-80,-80,-80,-81,-80,-80,-80,-81,-81,-81,-81,-81,-81,-80,-80,-80,-80,-80]}]",,,,
615f71793d0c66082ceff03d,,,,,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-44,-37,-39,-39,-39,-38,-38,-38,-39,-39,-39,-41,-39,-38,-37,-37,-38,-38,-38,-39,-38,-38,-38,-38,-38,-37,-41,-38,-38,-38,-38,-38,-38,-37,-38]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-61,-56,-57,-57,-57,-56,-57,-57,-57,-57,-56,-57,-56,-56,-56,-56,-56,-57,-56,-57,-57,-57,-57,-57,-57,-57,-56,-56,-57,-57,-57,-56,-57,-57]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-77,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-79,-79,-78,-78,-78,-78,-78,-78,-78,-79,-78,-78,-78,-78,-78,-86,-77,-78,-78]}]",,,,
615f71793d0c66082ceff03e,,,,,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-49,-42,-41,-41,-41,-41,-38,-42,-41,-41,-42,-41,-41,-42,-41,-41,-42,-42,-41,-42,-41,-41,-42,-41,-41,-41,-42,-41,-42,-42,-42]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-64,-61,-63,-62,-62,-63,-62,-62,-62,-62,-62,-63,-62,-62,-62,-61,-62,-63,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-61,-62,-63,-63,-61,-62]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-86,-85,-84,-85,-84,-85,-85,-85,-85,-84,-84,-84,-85,-86,-84,-85,-85,-85,-84,-84,-84,-84,-84,-84,-84,-84,-84,-85,-85,-85,-84,-84,-84,-84,-84]}]",,,,
615f71793d0c66082ceff03f,,,,,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-36,-35,-35,-35,-35,-35,-35,-35,-35,-36,-36,-36,-35,-34,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-62,-55,-57,-56,-57,-57,-56,-56,-57,-56,-56,-56,-57,-57,-57,-57,-57,-56,-57,-56,-56,-56,-56,-56,-56,-56,-55,-55,-56,-56,-56,-56,-56,-57,-56]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-84,-75,-76,-75,-76,-76,-76,-76,-75,-75,-75,-75,-75,-75,-75,-76,-76,-76,-76,-76,-76,-76,-76,-75,-76,-76,-76,-76,-76,-75,-76,-76,-76,-75,-76]}]",,,,
615f71793d0c66082ceff040,,,,,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-43,-44,-45,-45,-44,-45,-45,-44,-44,-44,-44,-44,-44,-43,-43,-44,-44,-44,-44,-42,-42,-44,-44,-44,-44,-44,-45,-45,-45,-44,-45,-45,-44,-43,-43]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-58,-57,-58,-58,-58,-59,-58,-59,-59,-58,-58,-58,-57,-57,-58,-58,-59,-58,-58,-58,-58,-58,-58,-58,-59,-58,-57,-58,-58,-58,-57,-58,-58,-58]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-80,-80,-79,-79,-80,-81,-81,-80,-81,-80,-80,-81,-81,-81,-81,-81,-81,-80,-80,-80,-80,-80,-81,-81,-80,-81,-82,-82,-83,-81,-82,-81,-81,-81,-81]}]",,,,
615f71793d0c66082ceff041,,,,,,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-41,-43,-42,-42,-42,-42,-42,-42,-43,-43,-42,-41,-42,-42,-42,-42,-41,-42,-42,-43,-42,-43,-42,-43,-42,-42,-42,-42,-42,-42,-42,-41,-42,-42,-43]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-54,-52,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-52,-53,-53,-52,-53,-53,-53,-53,-53,-54,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-78,-77,-79,-79,-79,-79,-78,-78,-79,-79,-79,-79,-79,-78,-79,-79,-78,-79,-79,-79,-78,-79,-79,-79,-79,-78,-79,-80,-78,-79,-80,-79,-79,-78,-79]}]",,,
615f71793d0c66082ceff042,,,,,,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-50,-42,-43,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-42,-42,-42,-42,-42,-42,-42,-42,-42,-41,-41,-42,-42,-42,-42,-42,-41,-42,-42,-42]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-54,-54,-54,-55,-54,-55,-54,-55,-54,-54,-55,-55,-55,-55,-54,-55,-55,-55,-55,-55,-55,-55,-56,-55,-55,-55,-55,-54,-55,-55,-55,-55,-54,-55,-56]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-81,-81,-80,-80,-80,-80,-81,-80,-80,-80,-80,-80,-80,-81,-80,-80,-79,-80,-80,-80,-80,-80,-81,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-81]}]",,,
615f71793d0c66082ceff043,,,,,,,"[{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-49,-48,-49,-48,-48,-48,-48,-48,-47,-47,-47,-48,-48,-48,-49,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-47,-48,-48,-48,-48,-48,-48,-48]},{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-55,-53,-55,-55,-55,-55,-55,-54,-54,-54,-54,-55,-54,-55,-54,-54,-54,-55,-55,-55,-54,-55,-55,-55,-55,-55,-55,-54,-55,-54,-54,-55,-55,-55,-54]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-79,-79,-81,-80,-81,-81,-81,-80,-81,-81,-81,-80,-81,-81,-81,-81,-81,-81,-81,-81,-81,-80,-80,-80,-80,-80,-80,-80,-81,-80,-81,-81,-80,-81,-80]}]",,,
615f71793d0c66082ceff044,,,,,,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-38,-37,-37,-37,-36,-36,-37,-37,-37,-37,-37,-37,-36,-37,-37,-36,-37,-36,-36,-36,-37,-36,-37,-37,-36,-36,-37,-37,-36,-37,-36,-36,-36,-36,-36]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-59,-59,-58,-59,-59,-58,-58,-59,-59,-59,-59,-58,-59,-59,-58,-59,-60,-59,-59,-59,-59,-59,-59,-59,-60,-60,-60,-59,-59,-59,-60,-59,-58,-59,-59]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-78,-81,-81,-80,-81,-82,-81,-81,-81,-80,-81,-81,-81,-81,-81,-81,-81,-81,-80,-81,-80,-81,-80,-81,-81,-81,-80,-80,-81,-81,-81,-80,-80,-81,-80]}]",,,
615f71793d0c66082ceff045,,,,,,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-44,-38,-37,-38,-38,-38,-38,-38,-38,-38,-37,-38,-38,-37,-37,-38,-38,-38,-38,-38,-38,-37,-38,-38,-38,-37,-37,-37,-36,-37,-37,-37,-38,-38,-38]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-55,-55,-55,-55,-55,-54,-54,-54,-56,-56,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-54,-55,-55,-55,-55,-55,-54,-54,-54,-54,-54,-54,-55,-55,-55]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-80,-80,-80,-80,-80,-80,-80,-80,-79,-80,-80,-80,-80,-81,-80,-80,-80,-81,-80,-80,-81,-81,-81,-80,-80,-80,-80,-80,-81,-81,-81,-80,-80,-80,-80]}]",,,
615f71793d0c66082ceff046,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-38,-47,-47,-48,-48,-46,-47,-47,-47,-47,-47,-48,-48,-47,-48,-48,-47,-48,-49,-48,-48,-48,-48,-47,-47,-47,-46,-48,-48,-48,-48]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-52,-55,-54,-54,-54,-56,-55,-55,-54,-55,-55,-54,-54,-54,-55,-55,-56,-56,-55,-54,-53,-54,-54,-54,-55,-55,-55,-53,-53,-54,-55,-54,-54,-55,-55]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-78,-81,-82,-81,-92,-80,-80,-78,-80,-80,-80,-79,-79,-79,-79,-79,-80,-79,-79,-80,-79,-79,-80,-79,-81,-78,-76,-80,-80,-79,-79,-79,-79,-79,-79]}]",,,,,,,,
615f71793d0c66082ceff047,,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-51,-51,-51,-57,-55,-53,-52,-51,-51,-50,-50,-50,-50,-50,-51,-51,-51,-51,-52,-50,-51,-51,-51,-51,-51,-50,-51,-51,-51,-51,-51,-51,-50,-50,-50]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-51,-55,-55,-53,-53,-53,-53,-52,-53,-53,-53,-53,-53,-53,-53,-53,-54,-54,-53,-53,-52,-53,-53,-54,-53,-52,-53,-53,-53,-54,-51,-53,-52,-53,-53]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-87,-87,-85,-86,-86,-86,-86,-86,-85,-86,-85,-84,-85,-86,-85,-85,-86,-86,-85,-91,-85,-85,-86,-85,-86,-85,-84,-91,-85,-83,-83,-87,-85,-86,-85]}]",,,,,,,
615f71793d0c66082ceff048,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-55,-54,-55,-54,-54,-54,-54,-55,-55,-53,-51,-52,-54,-53,-53,-56,-54,-54,-53,-52,-53,-53,-53,-53,-53,-54,-54,-54,-53,-53,-53,-52,-54]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-57,-57,-58,-58,-58,-59,-59,-59,-60,-59,-59,-55,-57,-57,-57,-57,-57,-57,-56,-56,-57,-57,-57,-57,-57,-55,-55,-56,-54,-56,-57,-57,-58,-56,-57]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-84,-84,-81,-80,-81,-81,-81,-81,-81,-81,-81,-79,-83,-81,-81,-80,-79,-82,-82,-81,-81,-82,-81,-82,-83,-80,-82,-83,-84,-87,-86,-83,-91,-81,-81]}]",,,,,,,,
615f71793d0c66082ceff049,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-49,-49,-50,-49,-49,-50,-49,-49,-49,-50,-49,-48,-48,-49,-50,-49,-49,-49,-48,-48,-49,-49,-48,-52,-50,-50,-49,-49,-49,-49,-49,-50]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-54,-57,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-57,-56,-56,-56,-55,-55,-55,-55,-55,-55,-55,-55,-55,-54,-54]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-80,-78,-79,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-76,-96,-80,-79,-78,-78,-78,-78,-78,-78,-78]}]",,,,,,,,
615f71793d0c66082ceff04a,,"[{""BSSID"":""a4:ce:da:58:e1:4f"",""RSSIs"":[-50,-53,-47,-50,-45,-48,-48,-46,-46,-47,-46,-48,-48,-51,-45,-46,-46,-46,-44,-44,-45,-47,-43,-44,-46,-46,-45,-45,-47,-46,-46,-45,-46,-46,-46]},{""BSSID"":""70:f1:96:86:9f:76"",""RSSIs"":[-54,-51,-53,-54,-52,-54,-54,-54,-54,-54,-52,-54,-54,-50,-50,-52,-52,-52,-52,-50,-51,-52,-52,-51,-52,-52,-52,-53,-53,-53,-52,-52,-53,-53,-53]},{""BSSID"":""78:dd:12:1e:3b:1a"",""RSSIs"":[-85,-82,-85,-89,-81,-80,-80,-80,-80,-80,-80,-82,-82,-82,-81,-82,-82,-91,-83,-82,-78,-82,-82,-80,-81,-81,-81,-81,-82,-81,-80,-81,-81,-82,-91]}]",,,,,,,,
