gpnum,x,y,z,ap1,rss1,ap2,rss2,ap3,rss3,ap4,rss4
1,1.437,0.01,0,10:bd:18:c6:b7:a0,-77,70:0f:6a:c8:29:40,-78,70:0f:6a:de:ba:60,-83,70:0f:6a:de:c1:40,-62
2,1.437,2.5,0,10:bd:18:c6:b7:a0,-81,70:0f:6a:c8:29:40,-77,70:0f:6a:de:ba:60,-83,70:0f:6a:de:c1:40,-60
3,1.437,5,0,10:bd:18:c6:b7:a0,-80,70:0f:6a:c8:29:40,-78,70:0f:6a:de:ba:60,-80,70:0f:6a:de:c1:40,-61
4,1.437,7.5,0,10:bd:18:c6:b7:a0,-82,70:0f:6a:c8:29:40,-74,70:0f:6a:de:ba:60,-76,70:0f:6a:de:c1:40,-62
5,1.437,10,0,10:bd:18:c6:b7:a0,-83,70:0f:6a:c8:29:40,-73,70:0f:6a:de:ba:60,-74,70:0f:6a:de:c1:40,-66
6,1.437,12.5,0,10:bd:18:c6:b7:a0,-84,70:0f:6a:c8:29:40,-72,70:0f:6a:de:ba:60,-73,70:0f:6a:de:c1:40,-67
7,2.687,1.25,0,10:bd:18:c6:b7:a0,-79,70:0f:6a:c8:29:40,-78,70:0f:6a:de:ba:60,-83,70:0f:6a:de:c1:40,-61
8,2.687,3.75,0,10:bd:18:c6:b7:a0,-79,70:0f:6a:c8:29:40,-77,70:0f:6a:de:ba:60,-82,70:0f:6a:de:c1:40,-61
9,2.687,6.25,0,10:bd:18:c6:b7:a0,-81,70:0f:6a:c8:29:40,-74,70:0f:6a:de:ba:60,-79,70:0f:6a:de:c1:40,-62
10,2.687,8.75,0,10:bd:18:c6:b7:a0,-83,70:0f:6a:c8:29:40,-75,70:0f:6a:de:ba:60,-77,70:0f:6a:de:c1:40,-65
11,2.687,11.25,0,10:bd:18:c6:b7:a0,-85,70:0f:6a:c8:29:40,-73,70:0f:6a:de:ba:60,-73,70:0f:6a:de:c1:40,-66
12,3.937,0,0,10:bd:18:c6:b7:a0,-79,70:0f:6a:c8:29:40,-77,70:0f:6a:de:ba:60,-83,70:0f:6a:de:c1:40,-58
13,3.937,2.5,0,10:bd:18:c6:b7:a0,-79,70:0f:6a:c8:29:40,-78,70:0f:6a:de:ba:60,-82,70:0f:6a:de:c1:40,-56
14,3.937,5,0,10:bd:18:c6:b7:a0,-82,70:0f:6a:c8:29:40,-77,70:0f:6a:de:ba:60,-80,70:0f:6a:de:c1:40,-58
15,3.937,7.5,0,10:bd:18:c6:b7:a0,-84,70:0f:6a:c8:29:40,-73,70:0f:6a:de:ba:60,-76,70:0f:6a:de:c1:40,-68
16,3.937,10,0,10:bd:18:c6:b7:a0,-83,70:0f:6a:c8:29:40,-74,70:0f:6a:de:ba:60,-75,70:0f:6a:de:c1:40,-66
17,3.937,12.5,0,10:bd:18:c6:b7:a0,-84,70:0f:6a:c8:29:40,-72,70:0f:6a:de:ba:60,-71,70:0f:6a:de:c1:40,-69
