gpnum,x,y,z,ap1,rss1,ap2,rss2,ap3,rss3,ap4,rss4
1,2.90,0.65,0,c4:09:38:6d:3b:09,-31,18:d6:c7:4d:3b:ec,-62,18:90:d8:dc:2b:2e,-66,34:8a:ae:6b:5e:6e,-64
2,2.90,3.20,0,c4:09:38:6d:3b:09,-24,18:d6:c7:4d:3b:ec,-63,18:90:d8:dc:2b:2e,-69,34:8a:ae:6b:5e:6e,-63
3,2.90,5.75,0,c4:09:38:6d:3b:09,-37,18:d6:c7:4d:3b:ec,-55,18:90:d8:dc:2b:2e,-60,34:8a:ae:6b:5e:6e,-72
4,2.90,8.30,0,c4:09:38:6d:3b:09,-42,18:d6:c7:4d:3b:ec,-51,18:90:d8:dc:2b:2e,-49,34:8a:ae:6b:5e:6e,-61
5,1.625,1.925,0,c4:09:38:6d:3b:09,-35,18:d6:c7:4d:3b:ec,-65,18:90:d8:dc:2b:2e,-73,34:8a:ae:6b:5e:6e,-70
6,1.625,4.475,0,c4:09:38:6d:3b:09,-38,18:d6:c7:4d:3b:ec,-53,18:90:d8:dc:2b:2e,-55,34:8a:ae:6b:5e:6e,-55
7,1.625,7.025,0,c4:09:38:6d:3b:09,-42,18:d6:c7:4d:3b:ec,-58,18:90:d8:dc:2b:2e,-64,34:8a:ae:6b:5e:6e,-58
8,0.35,0.65,0,c4:09:38:6d:3b:09,-32,18:d6:c7:4d:3b:ec,-61,18:90:d8:dc:2b:2e,-66,34:8a:ae:6b:5e:6e,-70
9,0.35,3.20,0,c4:09:38:6d:3b:09,-30,18:d6:c7:4d:3b:ec,-60,18:90:d8:dc:2b:2e,-66,34:8a:ae:6b:5e:6e,-70
10,0.35,5.75,0,c4:09:38:6d:3b:09,-39,18:d6:c7:4d:3b:ec,-62,18:90:d8:dc:2b:2e,-64,34:8a:ae:6b:5e:6e,-56
11,0.35,8.30,0,c4:09:38:6d:3b:09,-42,18:d6:c7:4d:3b:ec,-55,18:90:d8:dc:2b:2e,-61,34:8a:ae:6b:5e:6e,-54
12,0.35,10.85,0,c4:09:38:6d:3b:09,-48,18:d6:c7:4d:3b:ec,-54,18:90:d8:dc:2b:2e,-66,34:8a:ae:6b:5e:6e,-47
13,2.90,10.85,0,c4:09:38:6d:3b:09,-46,18:d6:c7:4d:3b:ec,-45,18:90:d8:dc:2b:2e,-60,34:8a:ae:6b:5e:6e,-58
14,5.45,10.85,0,c4:09:38:6d:3b:09,-61,18:d6:c7:4d:3b:ec,-53,18:90:d8:dc:2b:2e,-63,34:8a:ae:6b:5e:6e,-65
15,8.00,10.85,0,c4:09:38:6d:3b:09,-60,18:d6:c7:4d:3b:ec,-47,18:90:d8:dc:2b:2e,-58,34:8a:ae:6b:5e:6e,-70
16,1.625,9.575,0,c4:09:38:6d:3b:09,-50,18:d6:c7:4d:3b:ec,-54,18:90:d8:dc:2b:2e,-65,34:8a:ae:6b:5e:6e,-51
17,4.175,9.575,0,c4:09:38:6d:3b:09,-56,18:d6:c7:4d:3b:ec,-49,18:90:d8:dc:2b:2e,-55,34:8a:ae:6b:5e:6e,-63
18,6.725,9.575,0,c4:09:38:6d:3b:09,-64,18:d6:c7:4d:3b:ec,-48,18:90:d8:dc:2b:2e,-56,34:8a:ae:6b:5e:6e,-68
19,5.45,8.30,0,c4:09:38:6d:3b:09,-55,18:d6:c7:4d:3b:ec,-50,18:90:d8:dc:2b:2e,-60,34:8a:ae:6b:5e:6e,-61
20,8.00,8.30,0,c4:09:38:6d:3b:09,-64,18:d6:c7:4d:3b:ec,-41,18:90:d8:dc:2b:2e,-56,34:8a:ae:6b:5e:6e,-62
