gpnum,x,y,ap1,ple1,ap2,ple2,ap3,ple3,ap4,ple4
1,1.437,0.01,0,10:bd:18:c6:b7:a0,-3.466517719568567,70:0f:6a:c8:29:40,5.358015144573261,70:0f:6a:de:ba:60,5.547164472622435,70:0f:6a:de:c1:40,6.861184369487335
2,1.437,2.5,0,10:bd:18:c6:b7:a0,17.613063390074295,70:0f:6a:c8:29:40,5.594644743844946,70:0f:6a:de:ba:60,5.64908389092157,70:0f:6a:de:c1:40,7.00312356664661
3,1.437,5.0,0,10:bd:18:c6:b7:a0,10.20696014149592,70:0f:6a:c8:29:40,5.8219929073475525,70:0f:6a:de:ba:60,5.748435555540482,70:0f:6a:de:c1:40,6.735844564102189
4,1.437,7.5,0,10:bd:18:c6:b7:a0,8.283170051324145,70:0f:6a:c8:29:40,5.929454658082055,70:0f:6a:de:ba:60,5.874238082287461,70:0f:6a:de:c1:40,6.226302808310282
5,1.437,10.0,0,10:bd:18:c6:b7:a0,7.186699029126214,70:0f:6a:c8:29:40,6.412306411697904,70:0f:6a:de:ba:60,6.136110815789661,70:0f:6a:de:c1:40,6.103932633682126
6,1.437,12.5,0,10:bd:18:c6:b7:a0,6.657084114126497,70:0f:6a:c8:29:40,7.117179401369905,70:0f:6a:de:ba:60,6.750246353454738,70:0f:6a:de:c1:40,5.643703431848015
7,2.687,1.25,0,10:bd:18:c6:b7:a0,28.53554755557696,70:0f:6a:c8:29:40,5.507215219028956,70:0f:6a:de:ba:60,5.580139720425735,70:0f:6a:de:c1:40,7.8759854803800815
8,2.687,3.75,0,10:bd:18:c6:b7:a0,11.631281318000903,70:0f:6a:c8:29:40,5.6661479959582355,70:0f:6a:de:ba:60,5.804315494381631,70:0f:6a:de:c1:40,7.499540781542689
9,2.687,6.25,0,10:bd:18:c6:b7:a0,8.88043791011582,70:0f:6a:c8:29:40,5.800312173886944,70:0f:6a:de:ba:60,5.947533311220443,70:0f:6a:de:c1:40,6.993349526499534
10,2.687,8.75,0,10:bd:18:c6:b7:a0,7.632376679308104,70:0f:6a:c8:29:40,6.146530768410945,70:0f:6a:de:ba:60,6.162962995327312,70:0f:6a:de:c1:40,6.501315658940139
11,2.687,11.25,0,10:bd:18:c6:b7:a0,7.00350116678586,70:0f:6a:c8:29:40,6.71238880196047,70:0f:6a:de:ba:60,6.56870894459798,70:0f:6a:de:c1:40,6.049400481843596
12,3.937,0.0,0,10:bd:18:c6:b7:a0,17.93198813338973,70:0f:6a:c8:29:40,5.318539191814689,70:0f:6a:de:ba:60,5.606168293558507,70:0f:6a:de:c1:40,8.725502962316968
13,3.937,2.5,0,10:bd:18:c6:b7:a0,13.031943313879342,70:0f:6a:c8:29:40,5.655798271986707,70:0f:6a:de:ba:60,5.747304263463426,70:0f:6a:de:c1:40,9.014173688982996
14,3.937,5.0,0,10:bd:18:c6:b7:a0,9.456560956522772,70:0f:6a:c8:29:40,5.806427734704044,70:0f:6a:de:ba:60,5.877946638997333,70:0f:6a:de:c1:40,8.116165445237908
15,3.937,7.5,0,10:bd:18:c6:b7:a0,8.030373500628047,70:0f:6a:c8:29:40,5.9093605387688815,70:0f:6a:de:ba:60,5.874539674877473,70:0f:6a:de:c1:40,7.43642714659062
16,3.937,10.0,0,10:bd:18:c6:b7:a0,7.139200570369983,70:0f:6a:c8:29:40,6.421358991070298,70:0f:6a:de:ba:60,6.433848395393182,70:0f:6a:de:c1:40,6.5285510334593155
17,3.937,12.5,0,10:bd:18:c6:b7:a0,6.764575211363067,70:0f:6a:c8:29:40,6.937687511607872,70:0f:6a:de:ba:60,6.852156295854272,70:0f:6a:de:c1:40,5.950667599078664
