gpnum,x,y,ap1,ple1,ap2,ple2,ap3,ple3,ap4,ple4
1,1.437,0.01,0,10:bd:18:c6:b7:a0,-3.447914438502674,70:0f:6a:c8:29:40,5.475550549432658,70:0f:6a:de:ba:60,5.629340966323931,70:0f:6a:de:c1:40,6.9304380140744515
2,1.437,2.5,0,10:bd:18:c6:b7:a0,17.35858236937823,70:0f:6a:c8:29:40,5.606206401642396,70:0f:6a:de:ba:60,5.692812165834889,70:0f:6a:de:c1:40,7.1833049262992255
3,1.437,5.0,0,10:bd:18:c6:b7:a0,10.324508483000946,70:0f:6a:c8:29:40,5.9675338478492606,70:0f:6a:de:ba:60,5.904046061483014,70:0f:6a:de:c1:40,6.77601761119642
4,1.437,7.5,0,10:bd:18:c6:b7:a0,8.257466963715613,70:0f:6a:c8:29:40,5.914026668936172,70:0f:6a:de:ba:60,6.008921004698202,70:0f:6a:de:c1:40,6.297824774341794
5,1.437,10.0,0,10:bd:18:c6:b7:a0,7.236119402985073,70:0f:6a:c8:29:40,6.4952062683162906,70:0f:6a:de:ba:60,6.155950434000912,70:0f:6a:de:c1:40,6.200145620930517
6,1.437,12.5,0,10:bd:18:c6:b7:a0,6.796778639124145,70:0f:6a:c8:29:40,7.081217305993426,70:0f:6a:de:ba:60,6.836150881673681,70:0f:6a:de:c1:40,5.6169944513807435
7,2.687,1.25,0,10:bd:18:c6:b7:a0,28.701137715360804,70:0f:6a:c8:29:40,5.574296531414505,70:0f:6a:de:ba:60,5.600356494527788,70:0f:6a:de:c1:40,7.903429171942229
8,2.687,3.75,0,10:bd:18:c6:b7:a0,11.978354934889488,70:0f:6a:c8:29:40,5.732690745310071,70:0f:6a:de:ba:60,5.91246373115938,70:0f:6a:de:c1:40,7.600951909320952
9,2.687,6.25,0,10:bd:18:c6:b7:a0,8.744682396291669,70:0f:6a:c8:29:40,5.862583018710338,70:0f:6a:de:ba:60,6.001941970107166,70:0f:6a:de:c1:40,7.125425548901692
10,2.687,8.75,0,10:bd:18:c6:b7:a0,7.73129890560214,70:0f:6a:c8:29:40,6.1547539569585545,70:0f:6a:de:ba:60,6.293754716930536,70:0f:6a:de:c1:40,6.6395224486765025
11,2.687,11.25,0,10:bd:18:c6:b7:a0,7.082191465815391,70:0f:6a:c8:29:40,6.716093418108145,70:0f:6a:de:ba:60,6.466585772584719,70:0f:6a:de:c1:40,6.0453226863263
12,3.937,0.0,0,10:bd:18:c6:b7:a0,17.882505474402887,70:0f:6a:c8:29:40,5.333381525402547,70:0f:6a:de:ba:60,5.701273621070018,70:0f:6a:de:c1:40,8.786775420624036
13,3.937,2.5,0,10:bd:18:c6:b7:a0,13.316354060080842,70:0f:6a:c8:29:40,5.660963930707865,70:0f:6a:de:ba:60,5.888411905939188,70:0f:6a:de:c1:40,8.963101391021278
14,3.937,5.0,0,10:bd:18:c6:b7:a0,9.434797038384962,70:0f:6a:c8:29:40,5.863506710931209,70:0f:6a:de:ba:60,5.970805799478921,70:0f:6a:de:c1:40,8.202472818831062
15,3.937,7.5,0,10:bd:18:c6:b7:a0,7.975760425862326,70:0f:6a:c8:29:40,6.090126499551037,70:0f:6a:de:ba:60,5.977306786555676,70:0f:6a:de:c1:40,7.476815223889058
16,3.937,10.0,0,10:bd:18:c6:b7:a0,7.122011725617416,70:0f:6a:c8:29:40,6.454975139570131,70:0f:6a:de:ba:60,6.527471964886445,70:0f:6a:de:c1:40,6.446372997827027
17,3.937,12.5,0,10:bd:18:c6:b7:a0,6.800218390849442,70:0f:6a:c8:29:40,7.01927249210943,70:0f:6a:de:ba:60,7.170458224420741,70:0f:6a:de:c1:40,5.866636208668681
